No.,Starting_Point,Hub_Names_Starting,Ending_Point,Hub_Names_Ending,Distance
1,China,Shanghai Pudong International Airport (PVG),United States,Los Angeles International Airport (LAX),10436
2,China,Shanghai Pudong International Airport (PVG),United States,John F. Kennedy International Airport (JFK),11897
3,China,Beijing Capital International Airport (PEK),United States,Los Angeles International Airport (LAX),10058
4,China,Beijing Capital International Airport (PEK),United States,John F. Kennedy International Airport (JFK),11003
5,China,Guangzhou Baiyun International Airport (CAN),United States,Los Angeles International Airport (LAX),11638
6,China,Guangzhou Baiyun International Airport (CAN),United States,John F. Kennedy International Airport (JFK),12878
7,China,Chengdu Shuangliu International Airport (CTU),United States,Los Angeles International Airport (LAX),11598
8,China,Chengdu Shuangliu International Airport (CTU),United States,John F. Kennedy International Airport (JFK),12115
9,Japan,Narita International Airport (NRT),United States,San Francisco International Airport (SFO),8246
10,Japan,Narita International Airport (NRT),United States,Chicago O'Hare International Airport (ORD),10097
11,Japan,Kansai International Airport (KIX),United States,San Francisco International Airport (SFO),8710
12,Japan,Kansai International Airport (KIX),United States,Chicago O'Hare International Airport (ORD),10472
13,South Korea,Incheon International Airport (ICN),United States,Seattle-Tacoma International Airport (SEA),8396
14,South Korea,Incheon International Airport (ICN),United States,Dallas/Fort Worth International Airport (DFW),11010
15,South Korea,Gimpo International Airport (GMP),United States,Seattle-Tacoma International Airport (SEA),8367
16,South Korea,Gimpo International Airport (GMP),United States,Dallas/Fort Worth International Airport (DFW),10983
17,South Korea,Busan Gimhae International Airport (PUS),United States,Boston Logan International Airport (BOS),11181
18,South Korea,Busan Gimhae International Airport (PUS),United States,Miami International Airport (MIA),12591
19,India,Indira Gandhi International Airport (DEL),United States,Newark Liberty International Airport (EWR),11788
20,India,Indira Gandhi International Airport (DEL),United States,Chicago O'Hare International Airport (ORD),12045
21,India,Chhatrapati Shivaji Maharaj International Airport (BOM),United States,Newark Liberty International Airport (EWR),12565
22,India,Chhatrapati Shivaji Maharaj International Airport (BOM),United States,Chicago O'Hare International Airport (ORD),12962
23,India,Kempegowda International Airport (BLR),United States,Boston Logan International Airport (BOS),13075
24,India,Kempegowda International Airport (BLR),United States,Atlanta Hartsfield-Jackson International Airport (ATL),14488
25,India,Netaji Subhas Chandra Bose International Airport (CCU),United States,Chicago O'Hare International Airport (ORD),12839
26,Singapore,Changi Airport (SIN),United States,Los Angeles International Airport (LAX),14114
27,Singapore,Changi Airport (SIN),United States,John F. Kennedy International Airport (JFK),15348
28,Singapore,Seletar Airport (XSP),United States,Los Angeles International Airport (LAX),14118
29,Singapore,Seletar Airport (XSP),United States,John F. Kennedy International Airport (JFK),15341
30,Singapore,Paya Lebar Airbase (QPG),United States,Los Angeles International Airport (LAX),14119
31,Thailand,Suvarnabhumi Airport (BKK),United States,Los Angeles International Airport (LAX),13308
32,Thailand,Suvarnabhumi Airport (BKK),United States,John F. Kennedy International Airport (JFK),13963
33,Thailand,Don Mueang International Airport (DMK),United States,Los Angeles International Airport (LAX),13297
34,Thailand,Don Mueang International Airport (DMK),United States,John F. Kennedy International Airport (JFK),13937
35,Vietnam,Tan Son Nhat International Airport (SGN),United States,Los Angeles International Airport (LAX),13146
36,Vietnam,Tan Son Nhat International Airport (SGN),United States,John F. Kennedy International Airport (JFK),14307
37,Vietnam,Noi Bai International Airport (HAN),United States,Los Angeles International Airport (LAX),12320
38,Vietnam,Noi Bai International Airport (HAN),United States,John F. Kennedy International Airport (JFK),13156
39,Vietnam,Da Nang International Airport (DAD),United States,San Francisco International Airport (SFO),12063
40,Vietnam,Phu Bai International Airport (HUI),United States,Chicago O'Hare International Airport (ORD),13346
41,Indonesia,Soekarno–Hatta International Airport (CGK),United States,Los Angeles International Airport (LAX),14460
42,Indonesia,Soekarno–Hatta International Airport (CGK),United States,John F. Kennedy International Airport (JFK),16180
43,Indonesia,Ngurah Rai International Airport (DPS),United States,Los Angeles International Airport (LAX),13894
44,Indonesia,Ngurah Rai International Airport (DPS),United States,John F. Kennedy International Airport (JFK),16363
45,Malaysia,Kuala Lumpur International Airport (KUL),United States,Los Angeles International Airport (LAX),14175
46,Malaysia,Kuala Lumpur International Airport (KUL),United States,John F. Kennedy International Airport (JFK),15178
47,Malaysia,Penang International Airport (PEN),United States,Los Angeles International Airport (LAX),14067
48,Malaysia,Penang International Airport (PEN),United States,John F. Kennedy International Airport (JFK),14882
49,Philippines,Ninoy Aquino International Airport (MNL),United States,Los Angeles International Airport (LAX),11756
50,Philippines,Ninoy Aquino International Airport (MNL),United States,John F. Kennedy International Airport (JFK),13712
51,Philippines,Mactan–Cebu International Airport (CEB),United States,Los Angeles International Airport (LAX),11819
52,Philippines,Mactan–Cebu International Airport (CEB),United States,John F. Kennedy International Airport (JFK),14077
53,South Korea,Incheon International Airport (ICN),Vietnam,Tan Son Nhat International Airport (SGN),3554
54,South Korea,Incheon International Airport (ICN),Vietnam,Noi Bai International Airport (HAN),2683
55,South Korea,Gimpo International Airport (GMP),Vietnam,Tan Son Nhat International Airport (SGN),3582
56,South Korea,Gimpo International Airport (GMP),Vietnam,Noi Bai International Airport (HAN),2714
57,India,Indira Gandhi International Airport (DEL),China,Shanghai Pudong International Airport (PVG),4301
58,India,Indira Gandhi International Airport (DEL),China,Beijing Capital International Airport (PEK),3818
59,India,Chhatrapati Shivaji Maharaj International Airport (BOM),China,Shanghai Pudong International Airport (PVG),5071
60,India,Chhatrapati Shivaji Maharaj International Airport (BOM),China,Beijing Capital International Airport (PEK),4769
61,China,Shanghai Pudong International Airport (PVG),Vietnam,Tan Son Nhat International Airport (SGN),2740
62,Australia,Perth Airport (PER),Australia,Melbourne Airport (MEL),2706
63,France,Paris Charles de Gaulle Airport (CDG),Australia,Melbourne Airport (MEL),16753
64,France,Paris Orly Airport (ORY),Australia,Melbourne Airport (MEL),16770
65,France,Lyon-Saint Exupéry Airport (LYS),Australia,Melbourne Airport (MEL),16593
66,France,Marseille Provence Airport (MRS),Australia,Melbourne Airport (MEL),16578
67,France,Nice Côte d'Azur Airport (NCE),Australia,Melbourne Airport (MEL),16418
68,France,Toulouse-Blagnac Airport (TLS),Australia,Melbourne Airport (MEL),16889
69,France,Bordeaux-Mérignac Airport (BOD),Australia,Melbourne Airport (MEL),17051
70,France,Lille Airport (LIL),Australia,Melbourne Airport (MEL),16685
71,France,Vatry Airport (XCR),Australia,Melbourne Airport (MEL),16636
72,France,Strasbourg Airport (SXB),Australia,Melbourne Airport (MEL),16387
73,Hong Kong,Hong Kong International Airport (HKG),China,Shanghai Pudong International Airport (PVG),1254
74,Hong Kong,Hong Kong International Airport (HKG),China,Guangzhou Baiyun International Airport (CAN),136
75,Hong Kong,Hong Kong International Airport (HKG),China,Beijing Capital International Airport (PEK),1987
76,Hong Kong,Hong Kong International Airport (HKG),South Korea,Incheon International Airport (ICN),2065
77,Hong Kong,Hong Kong International Airport (HKG),Singapore,Singapore Changi Airport (SIN),2556
78,Hong Kong,Hong Kong International Airport (HKG),Taiwan,Taiwan Taoyuan International Airport (TPE),806
79,Hong Kong,Hong Kong International Airport (HKG),Japan,Narita International Airport (NRT),2965
