Region,Vehicle,Type,Weight Class,Fuel,CO2 EF,EF Unit,CH4 EF,EF Unit,N2O EF,EF Unit
UK,Freight flights,"Domestic, between UK airports",,,2.352,kg/tonne-kilometer,0.0752,g/tonne-kilometer,0.0747,g/tonne-kilometer
UK,Freight flights,"Short-haul1, up to 3700km distance",,,1.206,kg/tonne-kilometer,0.0032,g/tonne-kilometer,0.0383,g/tonne-kilometer
UK,Freight flights,"Long-haul1, over 3700km distance",,,0.534,kg/tonne-kilometer,0.0016,g/tonne-kilometer,0.017,g/tonne-kilometer
UK,Freight flights,"International2, over 3700km distance",,,0.534,kg/tonne-kilometer,0.0016,g/tonne-kilometer,0.017,g/tonne-kilometer
UK,Rail,Freight train,,,0.027,kg/tonne-kilometer,0.0008,g/tonne-kilometer,0.00104,g/tonne-kilometer
UK,Vans,"Class I, ≤1.305 tonnes",,Petrol,1.055,kg/tonne-kilometer,0.0512,g/tonne-kilometer,0.00886,g/tonne-kilometer
UK,Vans,"Class II, >1.305 to ≤1.74 tonnes",,Petrol,0.73,kg/tonne-kilometer,0.0348,g/tonne-kilometer,0.00601,g/tonne-kilometer
UK,Vans,"Class III, >1.74 to ≤3.5 tonnes",,Petrol,0.775,kg/tonne-kilometer,0.0236,g/tonne-kilometer,0.00409,g/tonne-kilometer
UK,Vans,Average (up to 3.5 tonnes),,Petrol,0.717,kg/tonne-kilometer,0.0324,g/tonne-kilometer,0.00564,g/tonne-kilometer
UK,Vans,"Class I, ≤1.305 tonnes",,Diesel,0.781,kg/tonne-kilometer,0.0008,g/tonne-kilometer,0.0347,g/tonne-kilometer
UK,Vans,"Class II, >1.305 to ≤1.74 tonnes",,Diesel,0.562,kg/tonne-kilometer,0.0004,g/tonne-kilometer,0.02144,g/tonne-kilometer
UK,Vans,"Class III, >1.74 to ≤3.5 tonnes",,Diesel,0.564,kg/tonne-kilometer,0.0004,g/tonne-kilometer,0.01396,g/tonne-kilometer
UK,Vans,Average (up to 3.5 tonnes),,Diesel,0.566,kg/tonne-kilometer,0.0004,g/tonne-kilometer,0.0156,g/tonne-kilometer
